Date,Link,Title,Venue,Language
2020-06-13 03:00:00+00:00,https://www.aargauerzeitung.ch/wirtschaft/corona-demaskiert-die-chefs-die-wahren-fuehrungsqualitaeten-zeigen-sich-erst-in-krisensituationen-138157280,Corona demaskiert die Chefs: Die wahren Führungsqualitäten zeigen sich erst in Krisensituationen - Wirtschaft - Aargauer Zeitung,Aargauer Zeitung,DE
2020-06-13 03:12:25+00:00,https://www.20min.ch/story/wie-isst-man-corona-konform-zu-abend-in-einer-gondel-511603708558,20min - Wie isst man Corona-konform zu Abend? In einer Gondel,20 Minuten (DE),DE
2020-06-13 06:11:03.779000+00:00,https://www.nzz.ch/wirtschaft/coronavirus-krise-trifft-chinas-tageloehner-hart-ld.1560932,Corona-Krise trifft Chinas Tagelöhner hart,Neue Zürcher Zeitung,DE
2020-06-13 06:16:18.181800+00:00,https://www.blick.ch/news/wirtschaft/notkredite-in-den-eigenen-sack-gesteckt-behoerden-ermitteln-gegen-132-corona-betrueger-id15935165.html,Corona-Kredit-Betrüger: Grosser Vergleich Schweizer Kantone ,Blick,DE
2020-06-13 06:32:15.283000+00:00,https://www.nzz.ch/zuerich/klubs-in-zuerich-kritisieren-polizeistunde-wegen-covid-verordnung-ld.1561042,Klubs in Zürich kritisieren Polizeistunde wegen Covid-Verordnung,Neue Zürcher Zeitung,DE
2020-06-13 06:48:15+00:00,https://www.tagesanzeiger.ch/corona-lehren-fuer-den-journalismus-740473576788,Leitartikel – Corona-Lehren für den Journalismus | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 06:49:28+00:00,https://www.bazonline.ch/die-bewaehrungsprobe-kommt-noch-636946010614,Gastkommentar zur Corona-Lockerung – Die Bewährungsprobe kommt noch ,Basler Zeitung,DE
2020-06-13 06:49:28+00:00,https://www.bernerzeitung.ch/die-bewaehrungsprobe-kommt-noch-636946010614,Gastkommentar zur Corona-Lockerung – Die Bewährungsprobe kommt noch | Berner Zeitung,Berner Zeitung,DE
2020-06-13 06:49:28+00:00,https://www.tagesanzeiger.ch/die-bewaehrungsprobe-kommt-noch-636946010614,Gastkommentar zur Corona-Lockerung – Die Bewährungsprobe kommt noch | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 08:00:00+00:00,https://www.swissinfo.ch/fre/sans-abri-en-suisse_ils-restent-dehors/45803114,Les sans-abris ont subi de plein fouet la crise du coronavirus,SWI swissinfo.ch (FR),FR
2020-06-13 08:26:48+00:00,https://www.20min.ch/story/corona-ausbruch-auf-grossmarkt-in-peking-wohnviertel-abgeriegelt-414572700023,20min - Corona-Ausbruch auf Grossmarkt in Peking – 49 neue Infektionen,20 Minuten (DE),DE
2020-06-13 08:43:05.055000+00:00,https://www.blick.ch/news/politik/neue-maschinen-in-flawil-sg-produzieren-mangelhafte-ware-masken-debakel-2-0-id15935207.html,Corona: Flawa liefert noch immer keine Atemschutzmasken ,Blick,DE
2020-06-13 09:00:00+00:00,https://www.swissinfo.ch/eng/on-the-margins-_homeless-in-switzerland-during-the-pandemic/45829774,Homeless in Switzerland during the pandemic,SWI swissinfo.ch (EN),EN
2020-06-13 09:42:56.871000+00:00,https://www.bazonline.ch/bitte-nicht-zu-viel-publikum-821349608789,Kunst und Corona – Bitte nicht zu viel Publikum ,Basler Zeitung,DE
2020-06-13 11:20:09.099000+00:00,https://www.blick.ch/news/wirtschaft/freier-mittelsitz-gegen-aufpreis-corona-test-vor-abflug-swiss-mutter-lufthansa-kaempft-um-passagiere-id15935492.html,Swiss-Mutter Lufthansa bietet Corona-Tests vor Abflug an,Blick,DE
2020-06-13 13:30:52.641000+00:00,https://www.bazonline.ch/teile-von-peking-wegen-neuer-corona-faelle-abgeriegelt-646840836501,Zweite Welle befürchtet – Teile von Peking wegen neuer Corona-Fälle abgeriegelt ,Basler Zeitung,DE
2020-06-13 13:30:52.641000+00:00,https://www.tagesanzeiger.ch/teile-von-peking-wegen-neuer-corona-faelle-abgeriegelt-646840836501,Zweite Welle befürchtet – Teile von Peking wegen neuer Corona-Fälle abgeriegelt | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 13:32:17.054000+00:00,https://www.bazonline.ch/hier-steigen-die-fallzahlen-wieder-an-194314624233,Weltweite Pandemie – Hier steigen die Fallzahlen wieder an,Basler Zeitung,DE
2020-06-13 13:32:17.054000+00:00,https://www.tagesanzeiger.ch/hier-steigen-die-fallzahlen-wieder-an-194314624233,Weltweite Pandemie – Hier steigen die Fallzahlen wieder an | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 14:17:07.015000+00:00,https://www.20minutes.ch/fr/story/la-geneva-pride-reste-a-lagenda-malgre-le-covid-19-874554771867,20min - La Geneva Pride reste à l’agenda malgré le Covid-19,20 Minutes (FR),FR
2020-06-13 14:30:04+00:00,https://www.aargauerzeitung.ch/ausland/hoffen-auf-den-bigger-bang-eu-spitzen-sehen-wende-nach-corona-138163976,"Hoffen auf den ""Bigger Bang"": EU-Spitzen sehen Wende nach Corona - Ausland - Aargauer Zeitung",Aargauer Zeitung,DE
2020-06-13 15:00:00+00:00,https://www.tagesanzeiger.ch/endlich-in-der-first-class-schlafen-988267353253,Ein Tag im Lockdown – Endlich in der First Class schlafen | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 15:16:56.704000+00:00,https://www.tagesanzeiger.ch/freie-sicht-auf-den-buehnenmatsch-145804314930,Zürcher Schauspielhaus nach Corona – Freie Sicht auf den Bühnenmatsch | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 17:42:56.037000+00:00,https://www.tagesanzeiger.ch/woche-13-im-neuen-leben-137260431979,Tagebuch zum Corona-Notstand – Woche 13 im neuen Leben | Tages-Anzeiger,Tages Anzeiger,DE
2020-06-13 19:30:45.454500+00:00,https://www.blick.ch/news/wirtschaft/fieber-check-und-maskenpflicht-strenge-schutzmassnahmen-auf-der-ferien-faehre-id15935066.html,Corona und Fähren: Temperatur messen und Schutzmassnahmen ,Blick,DE
2020-06-13 20:17:06.251000+00:00,https://nzzas.nzz.ch/international/der-italienische-sommer-beginnt-still-statt-froehlich-ld.1561147,Tourismus während Corona: Eine Reise in ein versehrtes Italien,Neue Zürcher Zeitung,DE
2020-06-13 20:22:24.305000+00:00,https://nzzas.nzz.ch/kultur/der-kunsthandel-in-der-corona-krise-nzz-am-sonntag-ld.1560879,Der Kunsthandel in der Corona-Krise | NZZ am Sonntag,Neue Zürcher Zeitung,DE
2020-06-13 21:00:00+00:00,https://www.bazonline.ch/dieses-corona-buch-ist-ein-verkaufshit-970221501002,Nr. 1 der «Spiegel»-Bestsellerliste – Dieses Corona-Buch ist ein Verkaufshit  ,Basler Zeitung,DE
