"Date","Spot exchange rate, US $ into Sterling                          XUDLUSS"
"27 Sep 19","1.2309"
"26 Sep 19","1.2334"
"25 Sep 19","1.2379"
"24 Sep 19","1.2479"
"23 Sep 19","1.243"
"20 Sep 19","1.2501"
"19 Sep 19","1.2488"
"18 Sep 19","1.2484"
"17 Sep 19","1.2482"
"16 Sep 19","1.242"
"13 Sep 19","1.246"
"12 Sep 19","1.2332"
"11 Sep 19","1.2343"
"10 Sep 19","1.2354"
"09 Sep 19","1.2344"
"06 Sep 19","1.2313"
"05 Sep 19","1.2325"
"04 Sep 19","1.2192"
"03 Sep 19","1.2092"
"02 Sep 19","1.2062"
"30 Aug 19","1.2183"
"29 Aug 19","1.2205"
"28 Aug 19","1.2221"
"27 Aug 19","1.2278"
"23 Aug 19","1.2276"
"22 Aug 19","1.2253"
"21 Aug 19","1.2131"
"20 Aug 19","1.2132"
"19 Aug 19","1.2135"
"16 Aug 19","1.2145"
"15 Aug 19","1.2114"
"14 Aug 19","1.2069"
"13 Aug 19","1.2072"
"12 Aug 19","1.2082"
"09 Aug 19","1.208"
"08 Aug 19","1.2134"
"07 Aug 19","1.2153"
"06 Aug 19","1.2167"
"05 Aug 19","1.2142"
